CustomerID,Name,Email,Phone,Address,PurchaseAmount,PurchaseDate,BookTitle
1,Shane Clarke,williamscynthia@example.com,+15516260650,"9901 Laura Stream Suite 214, East Denise, HI 02249",276.66,07-07-2023,Church seem.
2,Scott Long,,+15278389348,"544 Lewis Course, Melissaland, CT 65007",359.02,02-13-2023,Everything.
3,Reginald Willis,marshalllinda@example.com,+18015435601,"PSC 3113, Box 9049, APO AE 80754",303.37,11-12-2023,Weight dinner since.
4,Erika Cooper,fishercalvin@example.com,+19326547267,"58803 Gutierrez Via, West John, OK 94095",274.72,10-05-2023,Light professional.
5,Linda Day,collin73@example.net,+15068807120,"0031 Russell Estate, Port Meganport, VT 33328",214.71,12-31-2023,Decide.
6,Morgan Powell,awall@example.org,+18268695515,"71864 Valdez Harbors, Khanville, FM 38314",324.72,01-13-2023,Them order.
7,James Cook,ryan98@example.org,+18018876282,"3010 James Trafficway, Keithberg, CT 66789",221.61,04-09-2023,School spend interesting.
8,Stacy Pittman,scottnatalie@example.com,,"39146 Michael Field Suite 309, East Olivia, IA 87090",446.43,05-14-2023,Wife Happiness
9,Malik Hall,wchase@example.net,+14632774142,"0687 Kemp Meadow Apt. 289, Villaberg, OH 44786",482.01,10-04-2023,View yet.
10,David Moore,,+18664962822,"657 Jennifer Shores, South Randymouth, CA 66920",194.8,05-05-2023,Find our.
11,Sheila Smith,ohoward@example.com,+18312550583,"01368 Kelly Causeway, East Johnhaven, IN 11810",396.9,06-09-2023,Child might.
12,Jonathan Nelson,andrewanderson@example.org,+18726858230,,266.8,12-21-2023,Song often.
13,Rachel Santos,kimberly29@example.com,+12174312242,"471 Joshua Glens Suite 324, Williamshire, NJ 19440",286.18,10-07-2023,Foot type history.
14,John Ramirez,amy97@example.org,+19662054396,"7928 Cody Wall, Greeneland, VI 27945",463.17,01-20-2023,Speak deep.
15,Jeffrey Krueger,monica49@example.net,+19225454787,"978 Dunn Rest Apt. 589, Elizabethmouth, TX 76791",40.16,03-27-2023,Customer million.
16,Jessica Brooks,dennis59@example.org,+14837658204,"055 Curtis Road Suite 245, Samanthaville, DE 74450",48.13,10-31-2023,Campaign still.
17,Christy Walker,steven57@example.net,,"80559 Penny Viaduct, New Danielland, NM 87298",15.01,09-20-2023,Morning leg whom.
18,Stephanie Conley,melissaschultz@example.org,+13554115513,"05140 Velasquez Valley, North Keith, AL 19130",417.15,03-10-2023,Hour claim painting.
19,Paul Lee,,+19316993374,"7766 Jeffrey Groves, East Timothymouth, CT 44354",390.19,07-21-2023,Treat statement.
20,William Ross,sandranorman@example.net,+17359720034,"35640 Benjamin Trafficway, Hernandezstad, NY 58788",435.66,01-25-2023,Off traditional recognize.
21,Kevin Sutton,wbolton@example.net,+13288710746,"Unit 2783 Box 6310, DPO AP 28895",489.42,08-07-2023,Tv ability.
22,Kelli Williams,hthompson@example.org,+18997697156,"76964 Eric Ford, Amandaland, MD 16138",400.58,09-30-2023,Address.
23,Harold Brooks,gabriel56@example.com,+16598062665,,233.43,08-15-2023,Black increase seek.
24,Kevin Burch,jason66@example.com,+17395950917,"8645 Davis Mall, East Leeberg, MI 45226",391.36,05-31-2023,Right into.
25,Brandon Thompson,ekelly@example.net,,"61225 Tate Track Suite 991, North Johnville, NM 54706",63.55,05-06-2023,Born argue.
26,Charles Cohen,lbullock@example.net,+15539360088,"89717 Gina Hollow, New Tyler, NM 57766",321.76,01-29-2023,A work.
27,Matthew Manning,martineztaylor@example.org,+18876601182,"44813 Jennifer Ports, South Brian, NH 48396",75.96,10-12-2023,Lawyer deal family.
28,Dylan Brown,charles37@example.org,+12094355752,"221 Derrick Well, Martinchester, NV 49671",472.61,04-24-2023,Point design.
29,Edward Carter,morrisanna@example.com,+15664966123,"7581 Mitchell Spurs, Smithchester, MD 50006",263.31,12-24-2023,Special determine enjoy.
30,Malik Johnson,larsonjeanne@example.com,+18866395707,"4759 Livingston Ridge Suite 905, Lake Brittanyport, OH 43785",210.26,03-31-2023,Race they.
31,Joe Robles,mirandaweber@example.com,,"194 Cruz Camp Suite 280, Port Reneeland, MO 14136",135.96,05-14-2023,Everyone per book.
32,Sarah Oconnor,russelltodd@example.com,,"7668 Daniel Manors Suite 118, Williamsborough, SC 51405",388.25,03-08-2023,Tax some after.
33,Cynthia Powell,tammy19@example.com,,"872 Dennis Turnpike, West Heather, ID 12388",230.79,07-23-2023,Against present owner manage.
34,Theodore Herrera,kelseyflowers@example.org,,,286.37,03-19-2023,Research.
35,Angela Henderson,ayaladuane@example.org,+15087487018,"002 Robert Inlet Suite 996, West Bryanmouth, ME 36758",14.3,07-04-2023,Property successful.
36,Clayton Hodge,joannabailey@example.org,+16064916217,"59397 Shepard Forest Apt. 769, Lake Andrew, MD 18204",310.73,09-19-2023,Draw.
37,Adam Rodriguez,morrissteven@example.com,+12034454316,"558 Lori Village Suite 124, Meyersland, RI 33022",307.99,01-30-2023,Rest fish remember.
38,Michael Villanueva,xsullivan@example.org,+13476505542,"98665 Carolyn Tunnel Apt. 688, Ryanfort, NM 90736",310.38,04-02-2023,Partner professor group.
39,Jacob Nguyen,knelson@example.net,+14582265037,"37741 Campbell Shore Apt. 767, North Jeffrey, NV 40443",472.16,11-14-2023,Apply carry.
40,Anthony Carr,jennifersmith@example.org,+13593918103,,342.5,06-04-2023,Send toward.
